weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W09,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,100089,69538,SIMBISA BRANDS Nairobi,1.12,0.0
2026-W09,KE,Nairobi,Michael Karigithu,Enterprise,activation,ARTCAFFE,36491,15278,& Artcaffe Coffee & Bakery Limited,1.86,0.0
2026-W09,KE,Nairobi,Kevin Wawire,Mid-market,activation,HARVEST RESTAURANT,139039,50908,& TRIBE HOTEL LIMITED,0.76,0.0
2026-W09,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,LOVESONKO ENTERPRISES,155652,116116,LOVESONKO ENTERPRISES Nairobi,0.0,0.95
2026-W11,KE,Nairobi,Sharon Chebet,SMB,sp_activation,CHINESE DUMPLINGS,101557,43280,&The Indian Spice and Curry Kitchen,1.8,3.35
2026-W02,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_ELC_merchant,I LOVE FISH,179520,134268,I love Fish,3.13,0.0
2026-W02,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_exclusivity_prevention,PIZZA MOJO,18977,13775,& Interstrat Ltd,1.19,0.0
2026-W08,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_churn_prevention,JAVA HOUSE,54059,16728,&Nairobi Java House Limited,7.26,0.0
2026-W02,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,JAVA HOUSE,23463,16728,&Nairobi Java House Limited,0.4,0.0
2025-W52,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,23719,12025,&Kuku Foods/KFC,19.87,0.0
2025-W52,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,KABUDAS KITCHEN,9061,6535,&Kabuda's Kitchen,0.0,4.11
2026-W04,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,AARAN BISTRO AND CAFE,147018,109272,AARAN BISTRO AND CAFE Nairobi,0.0,1.64
2026-W06,KE,Nairobi,Sharon Chebet,SMB,activation,SMATTA DISHES,151497,112802,SMATTA DISHES Nairobi,0.98,0.0
2026-W07,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,THE VERANDA CAFE,126475,92107,THE VERANDA CAFE Nairobi,1.0,3.01
2025-W52,KE,Nairobi,Sharon Chebet,SMB,activation,PORK WORLD,157669,117730,PORK WORLD Nairobi,3.59,0.0
