weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W09,BG,Sofia,Mario Gyurov,Mid-market,reactivation,ZENOBIA,176995,132241,ZENOBIA Sofia,165.6,0.0
2026-W09,BG,Sofia,Mario Gyurov,Mid-market,reactivation,AMERICAN CHEESE STEAK,178746,133652,AMERICAN CHEESE STEAK Sofia,30.66,0.0
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,reactivation,KITAISKI VAZRAJDANE,168881,126310,KITAISKI VAZRAJDANE Sofia,57.64,0.0
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,activation,SANTE MIDDLE EAST,155775,116203,SANTE MIDDLE EAST Sofia,18.47,0.0
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,activation,KOHINOOR,149078,110892,Кохинор-София ЕООД,69.42,0.0
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,engagement,ILI BEIRUT,148622,110516,ILI BEIRUT Sofia,0.98,0.0
2025-W01,BG,Sofia,Mario Gyurov,Mid-market,engagement,CRANE AND DRAGON,161441,120724,CRANE AND DRAGON Sofia,2.16,0.0
2025-W01,BG,Sofia,Mario Gyurov,Enterprise,engagement,PAPA JOHNS BULGARIA,161065,120465,PAPA JOHNS BULGARIA Sofia,19.84,0.0
2025-W01,BG,Sofia,Mario Gyurov,Enterprise,engagement,KFC,164668,111684,KFC Sofia,5.39,0.0
2026-W02,BG,Sofia,Elina Panayotova,Mid-market,reactivation,BMS BULGARIAN CUISINE SOF,163214,107102,BMS BULGARIAN CUISINE SOF Sofia,13.2,0.0
2026-W04,BG,Sofia,Ralitsa Tomova,SMB,activation,KITAISKI SLATINA,176816,132103,KITAISKI SLATINA Sofia,0.63,0.0
2026-W04,BG,Sofia,Ralitsa Tomova,SMB,engagement,DAMASK DONER,152610,113684,DAMASK DONER Sofia,2.27,0.0
2026-W01,BG,Sofia,Elina Panayotova,Mid-market,reactivation,CHICKEN HOUSE  BG,156312,116637,CHICKEN HOUSE  BG Sofia,3.42,0.0
2026-W01,BG,Sofia,Mario Gyurov,Mid-market,sp_new_city_launch,CABRON SOF,149744,110546,CABRON SOF Sofia,107.9,37.17
2026-W07,BG,Sofia,Mario Gyurov,Mid-market,sp_reactivation,GRANO PIZZA,144059,107131,GRANO PIZZA Sofia,5.8,3.87
2026-W12,BG,Sofia,Elina Panayotova,Mid-market,reactivation,DANTE BG,164885,123221,DANTE BG Sofia,84.0,0.0
2026-W12,BG,Sofia,Mario Gyurov,Enterprise,engagement,GYRO LAND SOFIA,165206,123413,GYRO LAND SOFIA Sofia,111.16,0.0
2026-W12,BG,Sofia,Elina Panayotova,Mid-market,sp_reactivation,GYMJUNK,144746,107706,GYMJUNK Sofia,47.75,31.84
2026-W12,BG,Sofia,Unassigned,SMB,reactivation,ATA TURKISH CUISINE,190405,141945,ATA TURKISH CUISINE Sofia,17.97,0.0
2026-W02,BG,Sofia,Ralitsa Tomova,SMB,provider_campaign_churn_prevention,PROTEIN HOUSE,159598,119226,PROTEIN HOUSE Sofia,0.23,0.0
2026-W02,BG,Sofia,Elina Panayotova,Mid-market,activation,SWEET AND SALTY BAKERY,143978,107060,SWEET AND SALTY BAKERY Sofia,5.36,0.0
2026-W08,BG,Sofia,Elina Panayotova,Mid-market,engagement,MEET THE GREEKS,156130,116491,MEET THE GREEKS Sofia,16.88,0.0
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,reactivation,TAJ MAHAL RESTAURANT,151329,112055,TAJ MAHAL RESTAURANT Sofia,10.53,0.0
2026-W09,BG,Sofia,Ralitsa Tomova,SMB,reactivation,HEALTHY FACTORY,164063,122627,HEALTHY FACTORY Sofia,5.23,0.0
2026-W03,BG,Sofia,Elina Panayotova,Mid-market,engagement,POMODORO BG,155474,115959,POMODORO BG Sofia,4.82,0.0
2026-W05,BG,Sofia,Mario Gyurov,Mid-market,sp_new_city_launch,GRANO PIZZA,144059,107131,GRANO PIZZA Sofia,11.25,7.5
2026-W05,BG,Sofia,Elina Panayotova,Mid-market,activation,THE BURGER JOINT,143926,107016,THE BURGER JOINT Sofia,45.69,0.0
2025-W01,BG,Sofia,Elina Panayotova,Mid-market,reactivation,FU EN YUAN,144065,107137,FU EN YUAN Sofia,9.89,0.0
2026-W08,BG,Sofia,Elina Panayotova,Mid-market,sp_engagement,BLUE TASTE POKE,156947,117168,BLUE TASTE POKE Sofia,20.71,13.81
2026-W08,BG,Sofia,Ralitsa Tomova,SMB,engagement,THE MOVIN FOODTRUCK,186166,138696,THE MOVIN FOODTRUCK Sofia,10.4,0.0
2026-W06,BG,Sofia,Elina Panayotova,Mid-market,engagement,GLORY HOLE DONUTS,145972,108580,GLORY HOLE DONUTS Sofia,13.77,0.0
2026-W06,BG,Sofia,Ralitsa Tomova,SMB,activation,ELA RESTAURANT,160765,120190,ELA RESTAURANT Sofia,7.78,0.0
